"pitcher","pos","IP/App","FB%","MPH","DIFF","AGG","WHIFF%","appearances"
"Brian Duensing","RP",0.695263157894737,0.572236842105263,91.6312942903664,9.98500473013624,0.180669524283516,0.186415789473684,190
"Brian Ellington","RP",0.926086956521739,0.774347826086957,96.9813446141185,16.0502692500886,0.17902937254896,0.17395652173913,23
"Brian Flynn","RP",3,0.566,89.81,10.3230434782609,0.188679245283019,0.167,1
"Brian Flynn","SP",4.4,0.6372,90.489217152962,11.0339465590923,0.191959108643053,0.195,5
"Brian Johnson","SP",4.1,0.414,87.4333333333333,12.9921568627451,0.137931034482759,0.188,1
"Brian Matusz","RP",0.606417112299465,0.559652406417112,90.7676159636858,7.78098315010551,0.178235029622158,0.244338709677419,187
"Brian Omogrosso","RP",1.20833333333333,0.559833333333333,92.7762881082924,13.1844011423172,0.231916705354012,0.26975,12
"Brian Schlitter","RP",0.732394366197183,0.86469014084507,92.8528220451772,9.31451901487414,0.192206243873279,0.1108,71
"Brian Wilson","RP",0.676470588235294,0.263988235294118,92.6141053737929,5.38265141704221,0.162979077794531,0.195929411764706,85
"Bronson Arroyo","SP",6.1195652173913,0.432260869565217,86.8087308025491,11.6946071959284,0.193517657991989,0.136847826086957,46
"Brooks Brown","RP",0.8546875,0.5590625,93.7498614250843,7.84923086836504,0.163783083075349,0.26384126984127,64
"Brooks Raley","RP",1.24444444444444,0.583,88.8248263434849,8.98904176094591,0.126939312160841,0.233625,9
"Bruce Billings","RP",3.3,0.605,87.3760869565217,6.06942028985506,0.157894736842105,0.192,1
"Bruce Chen","RP",1.704,0.44416,84.581637276449,8.16905123046372,0.215799985101296,0.172,25
"Bruce Chen","SP",5.15833333333333,0.421916666666667,84.9471117645356,6.96410916241162,0.19788467843343,0.142583333333333,24
"Bruce Rondon","RP",0.84,0.646492307692308,98.3461222307105,10.7331403082613,0.174544366138586,0.239123076923077,65
"Bryan Mitchell","RP",1.43,0.7344,94.6705247045891,12.2279888841294,0.177916161129881,0.18725,20
"Bryan Mitchell","SP",3.13333333333333,0.660666666666667,94.1537588456943,10.7472708892064,0.178571428571429,0.235666666666667,3
"Bryan Morris","RP",0.93224043715847,0.896786885245902,92.5608616176617,9.15673353073143,0.172139729694234,0.238584699453552,183
"Bryan Price","RP",0.966666666666667,0.687666666666667,93.6185984848485,7.82600589225589,0.118927203065134,0.277666666666667,3
"Bryan Shaw","RP",0.852888888888889,0.750391111111111,92.5350339228014,11.9126569135058,0.207345323869487,0.217178571428571,225
"Buck Farmer","RP",1.60909090909091,0.610363636363636,93.1007028235392,9.99973863621135,0.155150151710009,0.162727272727273,11
"Buck Farmer","SP",4.2,0.594,92.2135294763111,9.50830367409191,0.172591341523547,0.183571428571429,7
"Buddy Boshers","RP",0.452,0.54696,92.3250603174603,10.9946013802622,0.126052114552115,0.27736,25
"Buddy Carlyle","RP",0.910526315789474,0.835131578947368,90.2759824684015,6.06592381737509,0.227089477336651,0.182710526315789,38
"Bud Norris","RP",0.962068965517241,0.627793103448276,95.0057019130295,9.64315064928698,0.163348854578636,0.264034482758621,29
"Bud Norris","SP",5.56619718309859,0.593774647887324,92.9078596319145,7.53403541738456,0.17037122082989,0.187591549295775,71
"Burch Smith","RP",1.7,0.713,93.1660740740741,13.4682962962963,0.225925925925926,0.252333333333333,3
"Burch Smith","SP",4.32857142857143,0.677285714285714,91.6675419855247,13.4757547325372,0.20391416426125,0.286857142857143,7
"Burke Badenhop","RP",0.870646766169154,0.687054726368159,89.1030053009556,7.19519410350254,0.20360847265505,0.113552763819095,201
"Caleb Cotham","RP",0.591666666666666,0.398083333333333,92.4797258297258,5.37386604136603,0.214057239057239,0.19725,12
"Caleb Thielbar","RP",0.763302752293578,0.650899082568807,89.265556525395,12.4695245834807,0.179118615379361,0.17545871559633,109
